,equipo,proba_final,proba_logistica,proba_rf,proba_xgb,confederacion,proba_final_%,proba_logistica_%,proba_rf_%,proba_xgb_%
36,Algeria,0.03226191183583654,0.05976010143793788,0.026071967977334784,0.008003294,CAF,3.2%,6.0%,2.6%,0.8%
37,Tunisia,0.030529453220970355,0.05226781378172312,0.0072645298758530884,0.032267388,CAF,3.1%,5.2%,0.7%,3.2%
38,Qatar,0.029016244266156007,0.03508402076041772,0.009375572059475918,0.044468466,AFC,2.9%,3.5%,0.9%,4.4%
39,Haiti,0.02774321438581073,0.06170677831017392,0.01252389317173324,0.006403615,CONCACAF,2.8%,6.2%,1.3%,0.6%
40,Egypt,0.026994557215257075,0.06223181711486915,0.0072645298758530884,0.00934017,CAF,2.7%,6.2%,0.7%,0.9%
41,South Africa,0.01994565518306145,0.04600386605172957,0.006095883795092994,0.0060468167,CAF,2.0%,4.6%,0.6%,0.6%
42,Saudi Arabia,0.019812772926863245,0.040322152058074934,0.0072645298758530884,0.010749326,AFC,2.0%,4.0%,0.7%,1.1%
43,Iraq,0.01908529446803437,0.040069310574339316,0.009844714692790742,0.005715844,AFC,1.9%,4.0%,1.0%,0.6%
44,Ghana,0.01843532092547998,0.041868838120813164,0.006095883795092994,0.0058051376,CAF,1.8%,4.2%,0.6%,0.6%
45,Iran,0.018369511163326413,0.04167941272434412,0.006095883795092994,0.0058051376,AFC,1.8%,4.2%,0.6%,0.6%
46,Uzbekistan,0.015327990700122555,0.03292476598566274,0.006095883795092994,0.0058051376,AFC,1.5%,3.3%,0.6%,0.6%
47,New Zealand,0.012859177660265664,0.018646926607993664,0.011237839957210448,0.008115879,OFC,1.3%,1.9%,1.1%,0.8%
48,Jordan,0.01198229095203465,0.024032140199648496,0.007804217128426328,0.0030205776,AFC,1.2%,2.4%,0.8%,0.3%
