rank,pais,codigo_pais,confederacion,puntos,puntos_previos,posicion_previa,movimiento,partidos,fecha_publicacion,proxima_publicacion
136,India,IND,AFC,1091.03,1079.52,141,5,43,2026-04-01T13:00:00+00:00,
137,Latvia,LVA,UEFA,1090.57,1082.68,139,2,40,2026-04-01T13:00:00+00:00,
138,Malaysia,MAS,AFC,1086.22,1145.89,121,-17,50,2026-04-01T13:00:00+00:00,
139,Central African Republic,CTA,CAF,1083.57,1083.57,138,-1,33,2026-04-01T13:00:00+00:00,
140,Liberia,LBR,CAF,1079.02,1081.46,140,0,34,2026-04-01T13:00:00+00:00,
141,Turkmenistan,TKM,AFC,1078.65,1087.52,137,-4,25,2026-04-01T13:00:00+00:00,
142,Burundi,BDI,CAF,1078.01,1060.22,145,3,34,2026-04-01T13:00:00+00:00,
143,Dominican Republic,DOM,CONCACAF,1077.95,1077.49,142,-1,33,2026-04-01T13:00:00+00:00,
144,Ethiopia,ETH,CAF,1071.55,1055.36,147,3,39,2026-04-01T13:00:00+00:00,
145,Lesotho,LES,CAF,1067.13,1065.97,143,-2,45,2026-04-01T13:00:00+00:00,
146,Botswana,BOT,CAF,1063.63,1062.42,144,-2,48,2026-04-01T13:00:00+00:00,
147,Singapore,SGP,AFC,1059.53,1050.35,148,1,44,2026-04-01T13:00:00+00:00,
148,Lithuania,LTU,UEFA,1058.42,1056.34,146,-2,40,2026-04-01T13:00:00+00:00,
149,Yemen,YEM,AFC,1049.49,1049.49,149,0,26,2026-04-01T13:00:00+00:00,
150,Guyana,GUY,CONCACAF,1049.32,1041.9,151,1,29,2026-04-01T13:00:00+00:00,
151,New Caledonia,NCL,OFC,1036.95,1042.62,150,-1,15,2026-04-01T13:00:00+00:00,
152,St Kitts and Nevis,SKN,CONCACAF,1036.33,1035.25,154,2,23,2026-04-01T13:00:00+00:00,
153,Solomon Islands,SOL,OFC,1031.89,1039.86,152,-1,28,2026-04-01T13:00:00+00:00,
154,Fiji,FIJ,OFC,1029.7,1029.7,155,1,26,2026-04-01T13:00:00+00:00,
155,"Hong Kong, China",HKG,AFC,1026.63,1038.14,153,-2,50,2026-04-01T13:00:00+00:00,
156,Puerto Rico,PUR,CONCACAF,1026.11,1020.07,156,0,26,2026-04-01T13:00:00+00:00,
157,Tahiti,TAH,OFC,1019.04,1019.04,157,0,12,2026-04-01T13:00:00+00:00,
158,Myanmar,MYA,AFC,1011.88,990.81,163,5,40,2026-04-01T13:00:00+00:00,
159,Moldova,MDA,UEFA,1004.16,1012.64,158,-1,40,2026-04-01T13:00:00+00:00,
160,Vanuatu,VAN,OFC,997.01,997.01,160,0,25,2026-04-01T13:00:00+00:00,
161,Malta,MLT,UEFA,987.73,996.59,161,0,39,2026-04-01T13:00:00+00:00,
162,Antigua and Barbuda,ATG,CONCACAF,986.58,986.58,165,3,22,2026-04-01T13:00:00+00:00,
163,Grenada,GRN,CONCACAF,982.57,989.59,164,1,27,2026-04-01T13:00:00+00:00,
164,Cuba,CUB,CONCACAF,981.42,980.49,166,2,28,2026-04-01T13:00:00+00:00,
165,Eswatini,SWZ,CAF,979.01,1010.52,159,-6,45,2026-04-01T13:00:00+00:00,
166,Bermuda,BER,CONCACAF,976.87,976.87,169,3,30,2026-04-01T13:00:00+00:00,
167,St Lucia,LCA,CONCACAF,976.71,980.28,167,0,19,2026-04-01T13:00:00+00:00,
168,Papua New Guinea,PNG,OFC,974.9,974.9,170,2,22,2026-04-01T13:00:00+00:00,
169,Afghanistan,AFG,AFC,972.75,991.19,162,-7,29,2026-04-01T13:00:00+00:00,
170,South Sudan,SSD,CAF,970.94,977.5,168,-2,35,2026-04-01T13:00:00+00:00,
171,St Vincent and the Grenadines,VIN,CONCACAF,968.27,963.74,171,0,28,2026-04-01T13:00:00+00:00,
172,Maldives,MDV,AFC,954.93,945.02,173,1,25,2026-04-01T13:00:00+00:00,
173,Andorra,AND,UEFA,945.34,949.44,172,-1,40,2026-04-01T13:00:00+00:00,
174,Chinese Taipei,TPE,AFC,923.78,938.21,174,0,24,2026-04-01T13:00:00+00:00,
175,Montserrat,MSR,CONCACAF,916.75,916.75,175,0,20,2026-04-01T13:00:00+00:00,
176,Nepal,NEP,AFC,914.54,902.52,182,6,34,2026-04-01T13:00:00+00:00,
177,Cambodia,CAM,AFC,911.54,911.54,179,2,31,2026-04-01T13:00:00+00:00,
178,Mauritius,MRI,CAF,911.49,915.51,176,-2,31,2026-04-01T13:00:00+00:00,
179,Barbados,BRB,CONCACAF,909.89,914.42,178,-1,26,2026-04-01T13:00:00+00:00,
180,Belize,BLZ,CONCACAF,907.0,910.74,181,1,21,2026-04-01T13:00:00+00:00,
181,Bangladesh,BAN,AFC,899.53,911.1,180,-1,37,2026-04-01T13:00:00+00:00,
182,Dominica,DMA,CONCACAF,897.69,901.37,183,1,25,2026-04-01T13:00:00+00:00,
183,Chad,CHA,CAF,896.85,914.65,177,-6,28,2026-04-01T13:00:00+00:00,
184,Eritrea,ERI,CAF,887.06,0.0,,,2,2026-04-01T13:00:00+00:00,
185,Laos,LAO,AFC,885.03,871.16,190,5,24,2026-04-01T13:00:00+00:00,
186,Bhutan,BHU,AFC,880.55,867.86,192,6,19,2026-04-01T13:00:00+00:00,
187,Mongolia,MNG,AFC,879.75,879.75,185,-2,17,2026-04-01T13:00:00+00:00,
188,Cook Islands,COK,OFC,877.53,877.53,186,-2,8,2026-04-01T13:00:00+00:00,
189,Aruba,ARU,CONCACAF,877.3,867.94,191,2,20,2026-04-01T13:00:00+00:00,
190,Samoa,SAM,OFC,876.41,876.41,187,-3,14,2026-04-01T13:00:00+00:00,
191,Sri Lanka,SRI,AFC,871.82,857.4,194,3,25,2026-04-01T13:00:00+00:00,
192,American Samoa,ASA,OFC,871.61,883.17,184,-8,7,2026-04-01T13:00:00+00:00,
193,Brunei Darussalam,BRU,AFC,863.09,875.78,188,-5,28,2026-04-01T13:00:00+00:00,
194,Macau,MAC,AFC,858.03,865.29,193,-1,12,2026-04-01T13:00:00+00:00,
195,Cayman Islands,CAY,CONCACAF,855.45,851.74,195,0,21,2026-04-01T13:00:00+00:00,
196,São Tomé and Príncipe,STP,CAF,855.44,871.63,189,-7,20,2026-04-01T13:00:00+00:00,
197,Djibouti,DJI,CAF,853.58,847.03,196,-1,25,2026-04-01T13:00:00+00:00,
198,Somalia,SOM,CAF,839.17,828.9,200,2,19,2026-04-01T13:00:00+00:00,
199,Tonga,TGA,OFC,835.64,835.64,197,-2,7,2026-04-01T13:00:00+00:00,
200,Timor-Leste,TLS,AFC,825.64,835.55,198,-2,20,2026-04-01T13:00:00+00:00,
201,Guam,GUM,AFC,825.43,823.08,201,0,6,2026-04-01T13:00:00+00:00,
202,Pakistan,PAK,AFC,824.6,833.16,199,-3,22,2026-04-01T13:00:00+00:00,
203,Gibraltar,GIB,UEFA,810.14,818.03,202,-1,40,2026-04-01T13:00:00+00:00,
204,Seychelles,SEY,CAF,804.16,805.33,203,-1,28,2026-04-01T13:00:00+00:00,
205,Turks and Caicos Islands,TCA,CONCACAF,803.98,803.98,204,-1,12,2026-04-01T13:00:00+00:00,
206,Liechtenstein,LIE,UEFA,803.57,799.8,205,-1,39,2026-04-01T13:00:00+00:00,
207,Bahamas,BAH,CONCACAF,786.82,796.6,206,-1,23,2026-04-01T13:00:00+00:00,
208,British Virgin Islands,VGB,CONCACAF,782.14,776.54,208,0,23,2026-04-01T13:00:00+00:00,
209,US Virgin Islands,VIR,CONCACAF,779.76,776.6,207,-2,15,2026-04-01T13:00:00+00:00,
210,Anguilla,AIA,CONCACAF,760.25,759.78,209,-1,18,2026-04-01T13:00:00+00:00,
211,San Marino,SMR,UEFA,726.33,726.03,210,-1,39,2026-04-01T13:00:00+00:00,
