Grupo,date,Hora_UTC,home_team,away_team,city,country,temp_mean,precip_sum,wind_max,climate_stress,climate_risk,home_win_prob,draw_prob,away_win_prob,expected_total_goals,climate_adjusted_goal_diff
I,2026-06-16,18:00 UTC-4,Iraq,Norway,Boston,United States,18.2,0.2333333333333333,17.566666666666666,0.008749999999999999,bajo,0.2306440285350286,0.221575,0.5477809714649714,2.693,-0.5746483333333331
I,2026-06-16,15:00 UTC-4,France,Senegal,New York/New Jersey,United States,19.25,2.6666666666666665,19.95,0.12166666666666665,bajo,0.6274796987017758,0.2419,0.13062030129822422,2.602666666666667,0.9953589259259256
J,2026-06-16,21:00 UTC-7,Austria,Jordan,San Francisco Bay Area,United States,18.333333333333332,0.0,23.05,0.056111111111111125,bajo,0.6492916350427357,0.2301,0.12060836495726433,2.655111111111111,1.0970345679012345
J,2026-06-16,20:00 UTC-5,Argentina,Algeria,Kansas City,United States,26.416666666666668,2.983333333333333,14.566666666666665,0.2959027777777778,medio,0.6759239097458803,0.2732625,0.050813590254119655,2.463277777777778,1.521071983024691
K,2026-06-17,12:00 UTC-5,Portugal,DR Congo,Houston,United States,28.3,0.8666666666666667,22.233333333333334,0.3420370370370371,medio,0.6575187125860501,0.2815666666666667,0.06091462074728321,2.4263703703703703,1.3690117037037037
K,2026-06-17,20:00 UTC-6,Uzbekistan,Colombia,Mexico City,Mexico,19.233333333333334,3.233333333333334,20.0,0.14347222222222222,bajo,0.0983025243175542,0.24582500000000002,0.6558724756824459,2.5852222222222223,-1.1926648919753084
L,2026-06-17,19:00 UTC-4,Ghana,Panama,Toronto,Canada,19.23333333333333,0.15,21.849999999999998,0.04840277777777775,bajo,0.12748251258622184,0.22871249999999999,0.6438049874137782,2.661277777777778,-1.0587086404320996
L,2026-06-17,15:00 UTC-5,England,Croatia,Dallas,United States,29.05,0.5666666666666667,19.583333333333332,0.3325925925925926,medio,0.5130865838968415,0.27986666666666665,0.20704674943649176,2.433925925925926,0.5245125925925931
A,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Atlanta,United States,25.099999999999998,0.4000000000000001,17.033333333333335,0.14416666666666658,bajo,0.48635375617454796,0.24594999999999997,0.26769624382545204,2.584666666666667,0.375101018518519
A,2026-06-18,19:00 UTC-6,Mexico,South Korea,Guadalajara,Mexico,23.71666666666667,0.6333333333333334,17.95,0.09527777777777786,bajo,0.5213826569505353,0.23715000000000003,0.2414673430494647,2.6237777777777778,0.49360931481481424
B,2026-06-18,15:00 UTC-7,Canada,Qatar,Vancouver,Canada,14.566666666666668,1.6833333333333333,16.683333333333334,0.063125,bajo,0.5378367029625467,0.2313625,0.23080079703745332,2.6495,0.549759
B,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,Los Angeles,United States,21.133333333333336,0.0,18.333333333333332,0.0037037037037036904,bajo,0.7013374658565048,0.22066666666666668,0.07799586747682846,2.6970370370370373,1.4620530041152273
C,2026-06-19,21:00 UTC-4,Brazil,Haiti,Philadelphia,United States,25.166666666666668,6.3999999999999995,19.133333333333333,0.38453703703703707,medio,0.696847229504553,0.2892166666666667,0.013936103828780244,2.3923703703703705,2.206897973251029
D,2026-06-19,21:00 UTC-7,Turkey,Paraguay,San Francisco Bay Area,United States,19.7,0.0,24.53333333333333,0.07259259259259258,bajo,0.5285350957005465,0.23306666666666667,0.2383982376327869,2.6419259259259262,0.515365563786008
D,2026-06-19,12:00 UTC-7,USA,Australia,Seattle,United States,14.983333333333334,0.5,16.216666666666665,0.01875,bajo,0.530923406180737,0.223375,0.2457015938192631,2.685,0.5098141666666669
C,2026-06-19,18:00 UTC-4,Scotland,Morocco,Boston,United States,21.7,2.1,21.283333333333335,0.11523148148148149,bajo,0.07949859935640713,0.24074166666666666,0.6797597339769262,2.607814814814815,-1.3647235308641974
E,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Kansas City,United States,26.150000000000002,1.5833333333333333,17.266666666666666,0.23229166666666673,bajo,0.6822459761432839,0.2618125,0.055941523856716156,2.5141666666666667,1.5124606712962954
E,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,Toronto,Canada,20.849999999999998,2.75,19.366666666666667,0.11831018518518518,bajo,0.6359479866955803,0.24129583333333332,0.1227561799710865,2.605351851851852,1.0447150056584353
F,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Houston,United States,28.666666666666668,4.316666666666667,20.733333333333334,0.4700231481481483,alto,0.6143702873902545,0.3046041666666667,0.08102554594307888,2.3239814814814816,1.0966386059670779
F,2026-06-20,22:00 UTC-6,Tunisia,Japan,Monterrey,Mexico,27.366666666666664,15.366666666666667,20.683333333333334,0.5534259259259259,alto,0.12635024208214424,0.31961666666666666,0.5540330912511892,2.2572592592592593,-0.7672962427983544
H,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Miami,United States,27.266666666666666,7.433333333333334,18.266666666666666,0.5011574074074073,alto,0.6401942700902176,0.3102083333333333,0.04959739657644915,2.299074074074074,1.3633883230452668
G,2026-06-21,12:00 UTC-7,Belgium,Iran,Los Angeles,United States,20.916666666666668,0.0,18.51666666666667,0.00574074074074077,bajo,0.5687164013692306,0.22103333333333333,0.21025026529743607,2.6954074074074077,0.6618655514403297
G,2026-06-21,18:00 UTC-7,New Zealand,Egypt,Vancouver,Canada,16.133333333333333,2.9499999999999997,14.416666666666666,0.11062499999999999,bajo,0.06634393753932447,0.2399125,0.6937435624606756,2.6115000000000004,-1.4955894583333338
H,2026-06-21,12:00 UTC-4,Spain,Saudi Arabia,Atlanta,United States,25.21666666666667,4.15,16.416666666666668,0.28965277777777787,medio,0.7118016815569073,0.27213750000000003,0.016060818443092668,2.468277777777778,2.2347592793209876
J,2026-06-22,12:00 UTC-5,Argentina,Austria,Dallas,United States,28.383333333333336,1.8166666666666667,19.8,0.35409722222222234,medio,0.6535962434693532,0.28373750000000003,0.06266625653064678,2.4167222222222224,1.3417137901234562
I,2026-06-22,17:00 UTC-4,France,Iraq,Philadelphia,United States,25.133333333333336,0.7333333333333333,19.73333333333333,0.1773148148148149,bajo,0.7278907056033969,0.2519166666666667,0.020192627729936453,2.558148148148148,2.220383806584361
J,2026-06-22,20:00 UTC-7,Jordan,Algeria,San Francisco Bay Area,United States,20.466666666666665,0.05000000000000001,23.416666666666668,0.062060185185185204,bajo,0.14725572950172233,0.23117083333333333,0.6215734371649443,2.650351851851852,-0.9362230653292178
I,2026-06-22,20:00 UTC-4,Norway,Senegal,New York/New Jersey,United States,23.2,2.6999999999999997,20.3,0.17680555555555555,bajo,0.17987098536067286,0.251825,0.5683040146393272,2.558555555555556,-0.7127044290123454
K,2026-06-23,12:00 UTC-5,Portugal,Uzbekistan,Houston,United States,27.833333333333332,3.8166666666666664,18.25,0.38895833333333324,medio,0.6554994808925872,0.2900125,0.05448801910741272,2.3888333333333334,1.4002773935185187
L,2026-06-23,19:00 UTC-4,Panama,Croatia,Toronto,Canada,21.516666666666666,2.9499999999999997,23.8,0.17506944444444444,bajo,0.13989577039528558,0.2515125,0.6085917296047144,2.5599444444444446,-0.9115277731481473
L,2026-06-23,16:00 UTC-4,England,Ghana,Boston,United States,21.7,1.0999999999999999,20.2,0.06569444444444443,bajo,0.7543199478083185,0.231825,0.013855052191681561,2.6474444444444445,2.5947533395061733
K,2026-06-23,20:00 UTC-6,Colombia,DR Congo,Guadalajara,Mexico,21.78333333333333,6.8,15.533333333333333,0.255,medio,0.6290253042601429,0.2659,0.10507469573985712,2.496,1.071314
A,2026-06-24,19:00 UTC-6,South Africa,South Korea,Monterrey,Mexico,27.266666666666666,1.3499999999999999,18.7,0.2778472222222222,medio,0.15335899598837968,0.2700125,0.5766285040116202,2.4777222222222224,-0.7848149799382719
C,2026-06-24,18:00 UTC-4,Scotland,Brazil,Miami,United States,27.5,4.533333333333334,16.516666666666666,0.39916666666666667,medio,0.07127143834994841,0.29185,0.6368785616500516,2.380666666666667,-1.2269333518518528
C,2026-06-24,18:00 UTC-4,Morocco,Haiti,Atlanta,United States,26.066666666666666,1.7333333333333334,17.416666666666668,0.23444444444444443,bajo,0.7226955701449704,0.2622,0.015104429855029565,2.5124444444444447,2.3368450370370364
B,2026-06-24,12:00 UTC-7,Switzerland,Canada,Vancouver,Canada,16.416666666666668,1.2333333333333332,14.15,0.04624999999999999,bajo,0.5281787678739365,0.228325,0.24349623212606353,2.6630000000000003,0.5066721111111114
B,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,Seattle,United States,17.416666666666668,0.11666666666666665,17.15,0.0043749999999999995,bajo,0.2804023547434813,0.2207875,0.4988101452565187,2.6965000000000003,-0.38332800000000067
